SUM of Number_of_Casualties,,,,,,,,,,,,,,
13522,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Accident_Severity,SUM of Number_of_Casualties,Fatal_severity,,,Serious_severity,,,Slight_severity,,,,,,
Fatal,238,Fatal,238,1.76%,Serious ,1834,13.56%,Slight ,11450,84.68%,,,,
Serious,1834,Other,13284,98.24%,Other,11688,86.44%,Other,2072,15.32%,,,,
Slight,11450,,,,,,,,,,,,,
Grand Total,13522,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Vehicle_Type,SUM of Number_of_Casualties,,,,,,,,,,,,,
Agricultural vehicle,29,,,,,,,,,,,,,
Bus or coach (17 or more pass seats),432,,,,,,,,,,,,,
Car,10508,,car casualities,10761,79.58%,bus casualities,476,3.52%,van casualities,1069,7.91%,bike casualities,1101,8.14%
Goods 7.5 tonnes mgw and over,293,,other,2761,20.42%,other,13046,96.48%,other,12453,92.09%,other,12421,91.86%
Goods over 3.5t. and under 7.5t,106,,,,,,,,,,,,,
Minibus (8 - 16 passenger seats),44,,,,,,,,,,,,,
Motorcycle 125cc and under,284,,,,,,,,,,,,,
Motorcycle 50cc and under,171,,,,,,,,,,,,,
Motorcycle over 125cc and up to 500cc,165,,,,,,,,,,,,,
Motorcycle over 500cc,481,,,,,,,,,,,,,
Other vehicle,86,,,,,,,,,,,,,
Taxi/Private hire car,253,,,,,,,,,,,,,
Van / Goods 3.5 tonnes mgw or under,670,,,,,,,,,,,,,
Grand Total,13522,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Road_Type,SUM of Number_of_Casualties,,,,,,,,,,,,,
,62,,,,,,,,,,,,,
Dual carriageway,2295,,,,,,,,,,,,,
One way street,267,,,,,,,,,,,,,
Roundabout,886,,,,,,,,,,,,,
Single carriageway,9888,,,,,,,,,,,,,
Slip road,124,,,,,,,,,,,,,
Grand Total,13522,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Urban_or_Rural_Area,SUM of Number_of_Casualties,,,,,,,,,,,,,
Rural,5230,,,,,,,,,,,,,
Urban,8292,,,,,,,,,,,,,
Grand Total,13522,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Light_Conditions,SUM of Number_of_Casualties,,,,,,,,,,,,,
Darkness - lighting unknown,146,,Daylight,9899,,,,,,,,,,
Darkness - lights lit,2638,,Darkness,3623,,,,,,,,,,
Darkness - lights unlit,45,,,,,,,,,,,,,
Darkness - no lighting,794,,,,,,,,,,,,,
Daylight,9899,,,,,,,,,,,,,
Grand Total,13522,,,,,,,,,,,,,